Model 1: Using Brain Tumor Classification (MRI),Model,Shots,Accuracy,Macro F1,Precision,Recall
BioMedCLIP,1-shot,0.4932,0.4971,0.5137,0.4932,
ResNet18,1-shot,0.329,0.3239,0.3233,0.329,
EfficientNet-B0,1-shot,0.3304,0.3249,0.3254,0.3304,
BioMedCLIP,5-shot,0.6188,0.6165,0.6344,0.6188,
ResNet18,5-shot,0.4194,0.3938,0.3976,0.4194,
EfficientNet-B0,5-shot,0.4065,0.3752,0.3865,0.4065,
BioMedCLIP,10-shot,0.6507,0.6463,0.6651,0.6507,
ResNet18,10-shot,0.443,0.4047,0.4157,0.443,
EfficientNet-B0,10-shot,0.4272,0.3827,0.4046,0.4272,
Model 2: Using Brain Tumor MRI,Model,Shots,Accuracy,Macro F1,Precision,Recall
BioMedCLIP,1-shot,0.5855,0.5871,0.5909,0.5855,
ResNet18,1-shot,0.4463,0.4437,0.4446,0.4463,
EfficientNet-B0,1-shot,0.4918,0.4855,0.4854,0.4918,
BioMedCLIP,5-shot,0.7148,0.7073,0.7127,0.7148,
ResNet18,5-shot,0.5935,0.5688,0.584,0.5935,
EfficientNet-B0,5-shot,0.6084,0.5744,0.5941,0.6084,
BioMedCLIP,10-shot,0.7408,0.7319,0.7395,0.7408,
ResNet18,10-shot,0.6257,0.5908,0.6216,0.6257,
EfficientNet-B0,10-shot,0.6229,0.5801,0.6225,0.6229,
